corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,accuracy@1,accuracy@5,true_class_confidence,entropy,bertscore,pinc,sample_id,binary_acc1,binary_acc5
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,37,1589,0,0,0.054363487706405735,3.818322169119964,0.7944231033325195,0.6532455458875928,355,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,38,229,0,0,0.00012634494899327808,0.19054106995025535,0.7944231033325195,0.6532455458875928,413,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,39,1937,0,0,0.04172004785592809,4.177574344137615,0.7944231033325195,0.6532455458875928,242,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,40,2629,1,1,0.9985822960032369,0.016502549220938325,0.7944231033325195,0.6532455458875928,400,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,41,2199,0,1,0.16048284763280185,2.8019911689177173,0.7944231033325195,0.6532455458875928,145,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,42,1876,0,1,0.1774093719522563,1.0700589044544144,0.7944231033325195,0.6532455458875928,433,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,43,2517,0,0,0.00014822631823008096,2.303450405594186,0.7944231033325195,0.6532455458875928,10,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,44,2041,0,1,0.021012682249796424,1.212820292398729,0.7944231033325195,0.6532455458875928,428,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,0,1444,0,0,1.8021201851439032e-05,0.567290185749514,0.8011525273323059,0.6508235410105574,27,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,1,1525,0,0,0.023628844763177555,4.011656604309578,0.8011525273323059,0.6508235410105574,312,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,2,395,0,1,0.08261963556548657,4.361868914261186,0.8011525273323059,0.6508235410105574,271,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,3,1278,0,1,0.07917400270266031,3.4909235902875615,0.8011525273323059,0.6508235410105574,191,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,4,1866,0,0,0.04976669450096243,3.8769775022172746,0.8011525273323059,0.6508235410105574,75,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,5,1787,1,1,0.7882530738565267,1.4994528459456327,0.8011525273323059,0.6508235410105574,176,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,6,436,0,0,0.0158843951092021,3.2534094352555605,0.8011525273323059,0.6508235410105574,50,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,7,229,0,1,0.1457155894614737,4.04870387589471,0.8011525273323059,0.6508235410105574,413,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,8,473,0,1,0.023227370357580955,1.7301150053586773,0.8011525273323059,0.6508235410105574,206,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,9,1604,1,1,0.7542768720929007,1.9182498233155258,0.8011525273323059,0.6508235410105574,426,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,10,2372,0,0,0.025022195554577437,4.362783280733631,0.8011525273323059,0.6508235410105574,469,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,11,2124,0,0,0.00020708517486772653,3.3690060296708193,0.8011525273323059,0.6508235410105574,26,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,12,548,0,1,0.04644507962862332,3.643143923323386,0.8011525273323059,0.6508235410105574,45,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,13,2660,0,0,0.019019516967464022,3.3942720971022426,0.8011525273323059,0.6508235410105574,159,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,14,906,0,1,0.12441148788634002,2.791041600071875,0.8011525273323059,0.6508235410105574,385,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,15,554,0,1,0.00498209887770335,0.18332875589462158,0.8011525273323059,0.6508235410105574,88,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,16,390,0,1,0.15983500788049265,3.2879572210315042,0.8011525273323059,0.6508235410105574,13,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,17,2168,0,1,0.2765046698142404,1.4903913199013314,0.8011525273323059,0.6508235410105574,56,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,18,2228,1,1,0.969996708194253,0.24258058285601322,0.8011525273323059,0.6508235410105574,154,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,19,426,0,0,5.373793566622068e-05,0.11670550276048991,0.8011525273323059,0.6508235410105574,356,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,20,430,0,0,0.0002401930721702469,1.8555849680989922,0.8011525273323059,0.6508235410105574,288,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,21,2276,0,1,0.038237161200288576,2.1192399765027363,0.8011525273323059,0.6508235410105574,252,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,22,554,1,1,0.34553045264076554,3.1442865266748288,0.8011525273323059,0.6508235410105574,88,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,23,1764,0,0,0.0006237378533057622,2.1884935421083562,0.8011525273323059,0.6508235410105574,298,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,24,2472,0,0,0.008253152635634394,1.8795186624997005,0.8011525273323059,0.6508235410105574,264,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,25,1820,0,1,0.027049882610593958,2.757514897881846,0.8011525273323059,0.6508235410105574,470,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,26,243,0,1,0.00899824910794831,0.28985756497951337,0.8011525273323059,0.6508235410105574,314,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,27,1745,0,0,0.04108448643124312,4.127177715040977,0.8011525273323059,0.6508235410105574,119,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,28,2259,0,0,0.0005141741430278893,2.5022496795686564,0.8011525273323059,0.6508235410105574,73,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,29,1046,0,0,5.969532679258857e-07,0.03567955624434734,0.8011525273323059,0.6508235410105574,123,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,30,724,1,1,0.4871159358806981,2.466187200133104,0.8011525273323059,0.6508235410105574,147,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,31,1492,0,0,0.0031013019589103755,4.425841637749303,0.8011525273323059,0.6508235410105574,419,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,32,519,0,0,0.01717365051527019,2.839614848311646,0.8011525273323059,0.6508235410105574,302,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,33,665,1,1,0.4633233580140253,3.288860283404499,0.8011525273323059,0.6508235410105574,134,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,34,2121,1,1,0.4179780083265142,3.6259215898656705,0.8011525273323059,0.6508235410105574,232,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,35,1501,0,0,3.83512879065095e-09,0.0013452265120956933,0.8011525273323059,0.6508235410105574,106,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,36,306,0,0,0.007741929648834954,1.6675538077877399,0.8011525273323059,0.6508235410105574,273,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,37,2514,1,1,0.6341805187626283,1.2422336525130566,0.8011525273323059,0.6508235410105574,136,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,38,1203,0,0,1.0205785075011897e-06,0.010830467802475093,0.8011525273323059,0.6508235410105574,495,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,39,837,0,0,8.452242915732134e-05,0.21377472607413556,0.8011525273323059,0.6508235410105574,337,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,40,1506,1,1,0.999299487098203,0.00960576652503432,0.8011525273323059,0.6508235410105574,182,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,41,1972,1,1,0.307697521557487,3.9200444013798417,0.8011525273323059,0.6508235410105574,383,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,42,718,0,1,0.003409606397940108,0.1513618024497643,0.8011525273323059,0.6508235410105574,189,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,43,1416,0,0,5.041970235091845e-05,1.9598052598222964,0.8011525273323059,0.6508235410105574,175,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,98473,44,1918,1,1,0.23307490420022114,3.600120270062661,0.8011525273323059,0.6508235410105574,6,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,0,814,1,1,0.3269550474375606,2.3904256188573805,0.8068329691886902,0.6440179878348193,229,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,1,1280,0,0,7.41067972555408e-05,0.10074704737416423,0.8068329691886902,0.6440179878348193,315,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,2,1764,0,1,0.2675093058720253,2.659570584671839,0.8068329691886902,0.6440179878348193,298,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,3,538,0,1,0.2974363191203253,2.6398201004593678,0.8068329691886902,0.6440179878348193,89,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,4,1764,0,1,0.029159928957577283,2.3763329995634748,0.8068329691886902,0.6440179878348193,132,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,5,1670,1,1,0.862323983481493,1.0690062044546063,0.8068329691886902,0.6440179878348193,327,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,6,1492,0,0,0.0008836258059554711,2.5282552711110693,0.8068329691886902,0.6440179878348193,29,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,7,2629,1,1,0.9988362814345704,0.017902492357919787,0.8068329691886902,0.6440179878348193,400,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,8,545,0,0,0.015052738230049097,2.9442602853424455,0.8068329691886902,0.6440179878348193,223,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,9,615,0,1,0.0015428202931815232,0.1321014713641889,0.8068329691886902,0.6440179878348193,144,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,10,1826,0,0,0.015155222778341162,3.974824257563991,0.8068329691886902,0.6440179878348193,364,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,11,231,0,0,0.0007061684917898629,3.3521166520505825,0.8068329691886902,0.6440179878348193,186,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,12,1601,0,0,0.0034095009834260717,3.6270708439737143,0.8068329691886902,0.6440179878348193,185,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,13,1726,0,0,0.016732249960466097,2.623162034086783,0.8068329691886902,0.6440179878348193,342,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,14,1619,0,1,0.14154035206636317,3.511013292260561,0.8068329691886902,0.6440179878348193,236,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,15,1068,0,1,0.0003337763556599632,0.08144655927458906,0.8068329691886902,0.6440179878348193,468,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,16,1588,0,1,0.0009847583117403775,0.1484571394629074,0.8068329691886902,0.6440179878348193,420,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,17,1960,0,0,0.007306141077283772,1.9866917066603185,0.8068329691886902,0.6440179878348193,92,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,18,2629,1,1,0.9672954246866522,0.35160179146356135,0.8068329691886902,0.6440179878348193,400,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,19,272,0,0,2.5110453078472933e-06,1.3331178218794897,0.8068329691886902,0.6440179878348193,42,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,20,578,0,1,0.040338643668586555,2.2505931955433933,0.8068329691886902,0.6440179878348193,423,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,21,2312,0,0,0.0019017283452535199,1.570206318999402,0.8068329691886902,0.6440179878348193,487,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,22,449,0,1,0.009770902134592542,0.8979611694094342,0.8068329691886902,0.6440179878348193,245,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,23,1799,1,1,0.8450699929374607,0.9447036452347487,0.8068329691886902,0.6440179878348193,199,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,24,346,0,1,0.13588054407716793,2.565703906213904,0.8068329691886902,0.6440179878348193,180,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,25,243,0,0,0.011090627242656062,3.5434761864262465,0.8068329691886902,0.6440179878348193,314,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,26,1024,1,1,0.34169551430028433,3.1362938717649005,0.8068329691886902,0.6440179878348193,69,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,27,1280,0,0,0.0019236229661701624,1.6186925753642971,0.8068329691886902,0.6440179878348193,315,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,28,1937,0,0,0.0008767536408154932,2.7690622092422963,0.8068329691886902,0.6440179878348193,366,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,29,268,0,0,0.012818687367935946,1.6159089613417381,0.8068329691886902,0.6440179878348193,398,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,30,2472,1,1,0.5141547452477013,1.817629093830266,0.8068329691886902,0.6440179878348193,264,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,31,526,0,1,0.021857995199874462,1.5875620147915621,0.8068329691886902,0.6440179878348193,224,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,32,302,0,0,0.012823482022208116,2.7492166642136033,0.8068329691886902,0.6440179878348193,439,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,33,494,1,1,0.4480134648449749,3.407540216547511,0.8068329691886902,0.6440179878348193,202,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,34,1061,1,1,0.5281507209052007,3.1955321077746244,0.8068329691886902,0.6440179878348193,282,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,35,1498,0,0,1.902320265186014e-05,0.4790330466947063,0.8068329691886902,0.6440179878348193,127,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,36,280,0,0,0.026597945643446638,3.2247630570482944,0.8068329691886902,0.6440179878348193,357,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,37,2041,1,1,0.5430035869763774,1.3467713965123882,0.8068329691886902,0.6440179878348193,428,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,38,1009,0,0,0.00026542399692232245,0.24126918203718692,0.8068329691886902,0.6440179878348193,125,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,93187,39,1641,0,0,0.011108302483629819,4.324782284866585,0.8068329691886902,0.6440179878348193,445,0,0
