Corpus,Threat Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,logreg,0.6666666666666666,0.8666666666666667,0.4264818602385359,2.6270061120237007,0.0,1.0,1.0
EBG,svm,0.7333333333333333,0.8888888888888888,0.2527915090698276,4.267334661829224,0.0,1.0,1.0
EBG,roberta,0.8666666666666667,0.9333333333333333,0.8305529356002808,0.7004072666168213,0.0,1.0,1.0
RJ,logreg,0.2857142857142857,0.5714285714285714,0.23478247713158948,1.101890040284835,0.0,1.0,1.0
RJ,svm,0.2857142857142857,0.5238095238095238,0.13195051529659466,3.3525514996139236,0.0,1.0,1.0
RJ,roberta,0.19047619047619047,0.5714285714285714,0.19828353822231293,1.163059115409851,0.0,1.0,1.0
