Corpus,Threat Model,LLM,Metric,Higher is Better,Data Points,Mean Value,Slope,Slope HDI Lower,Slope HDI Upper,P(Improvement),Effect per 1000 words,Effect (500→2500),In ROPE,Conclusion
EBG,LOGREG,Llama-3.1,entropy,True,15,2.1677809426245793,0.30882907292497674,0.09698767515506412,0.5238740590927349,0.99275,1.6960439003796564,3.3920878007593127,0.00125,Significant Improvement with Longer Exemplars
EBG,LOGREG,Gpt-4O,accuracy@1,False,15,0.19555555555555554,0.4287627861182433,0.18335288069736838,0.6936495342274767,0.0025,0.4287627861182433,0.8575255722364866,0.000125,Significant Improvement with Longer Exemplars
EBG,LOGREG,Gpt-4O,accuracy@5,False,15,0.4918518518518518,0.34580004057460345,0.1317704402931104,0.5575810617549224,0.002875,0.34580004057460345,0.6916000811492069,0.000625,Significant Improvement with Longer Exemplars
EBG,LOGREG,Gpt-4O,true_class_confidence,False,15,0.16678378165128746,0.29556549987921804,0.03983674675289321,0.528355047594496,0.01475,0.29556549987921804,0.5911309997584361,0.003125,Significant Improvement with Longer Exemplars
EBG,LOGREG,Gpt-4O,entropy,True,15,2.0642710443817838,0.20003563999993493,-0.005096454589494384,0.4116332978150577,0.963375,1.0985663489099309,2.1971326978198618,0.007125,Significant Improvement with Longer Exemplars
EBG,SVM,Llama-3.1,entropy,True,15,3.8956387505291925,0.31117890184779334,0.049871822060907095,0.5754978218942017,0.98575,1.708948815625272,3.417897631250544,0.002625,Significant Improvement with Longer Exemplars
EBG,SVM,Gpt-4O,accuracy@1,False,15,0.21185185185185185,0.46799766332262566,0.1945290625364068,0.722205086663414,0.001375,0.46799766332262566,0.9359953266452513,0.000375,Significant Improvement with Longer Exemplars
EBG,SVM,Gpt-4O,accuracy@5,False,15,0.5125925925925926,0.4486407408554109,0.22187300707445995,0.6617357703929054,0.000875,0.4486407408554109,0.8972814817108218,0.000125,Significant Improvement with Longer Exemplars
EBG,SVM,Gpt-4O,entropy,True,15,3.790352020216583,0.29005588103113794,0.0720031503628695,0.509214761095948,0.992625,1.5929442883494866,3.1858885766989733,0.002,Significant Improvement with Longer Exemplars
RJ,SVM,Claude-3.5,entropy,True,15,2.7172191782829627,0.18243212962150052,-0.020631795787226098,0.3912631176930113,0.9505,0.80129982141115,1.6025996428223,0.008375,Significant Improvement with Longer Exemplars
RJ,ROBERTA,Claude-3.5,entropy,True,15,1.231649633248647,0.22536010125111205,0.006215149888352797,0.46355807313353004,0.964375,0.9898530991244451,1.9797061982488902,0.0055,Significant Improvement with Longer Exemplars
