corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,accuracy@1,accuracy@5,true_class_confidence,entropy,bertscore,pinc,sample_id,binary_acc1,binary_acc5
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,0,814,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,229,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,1,1280,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,315,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,2,1764,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,298,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,3,538,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,89,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,4,1764,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,132,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,5,1670,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,327,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,6,1492,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,29,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,7,2629,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,400,0,1
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,8,545,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,223,0,1
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,9,615,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,144,0,1
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,10,1826,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,364,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,11,231,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,186,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,12,1601,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,185,0,1
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,13,1726,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,342,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,14,1619,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,236,0,1
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,15,1068,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,468,0,1
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,16,1588,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,420,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,17,1960,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,92,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,18,2629,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,400,1,1
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,19,272,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,42,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,93187,20,578,0.09523809523809523,0.23809523809523808,0.07711739093065262,1.8133344650268555,0.7658904790878296,0.6957728361705626,423,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,0,2198,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,475,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,1,1524,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,205,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,2,2132,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,171,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,3,346,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,180,0,1
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,4,805,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,443,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,5,481,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,238,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,6,832,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,90,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,7,1296,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,393,0,0
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,8,898,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,340,0,1
rj,llama-3.1,llama-3.1-8b-instruct,roberta,103387,9,1017,0.047619047619047616,0.38095238095238093,0.05630195140838623,1.927032232284546,0.7412508726119995,0.7076871111390481,274,0,1
