corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,17,1415,0,0,3.3823236864503856e-07,0.02359738616151501,0.643218457698822,0.8278193038490574,187
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,18,731,0,1,0.33475801133430905,1.1200044139129517,0.6609373688697815,0.825185275657431,440
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,19,781,0,0,1.4540809462418783e-09,0.5933174102457849,0.5978990793228149,0.881234692637429,300
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,20,1641,0,1,0.04493365118394212,1.5806776138374123,0.6472293734550476,0.8459807549626389,445
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,0,1444,0,1,0.0056989009194212525,1.0326053873128405,0.5935368537902832,0.8420872790167656,27
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,1,1525,0,0,0.0001581133311259236,0.27479124624309387,0.6630286574363708,0.8230219400252954,312
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,2,395,0,0,6.709441869180268e-07,0.9417300724302976,0.6504743099212646,0.821370149015072,271
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,3,1278,0,0,9.717552476371468e-07,1.1528184901575087,0.7632933855056763,0.769289827691887,191
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,4,1866,0,0,5.662910697640275e-05,0.29197672890647863,0.6181620955467224,0.8068491683313437,75
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,5,1787,0,0,2.9086324574042017e-09,0.036010827288022525,0.68918377161026,0.762643774213901,176
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,6,436,0,0,9.028841255545266e-10,0.11424848819110342,0.6775031685829163,0.804213521321445,50
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,7,229,0,0,2.9515254139762572e-08,0.07291720495665059,0.7228453159332275,0.7980047923475184,413
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,8,473,0,1,0.04806519662921911,0.4742616837441722,0.6866447329521179,0.7538786382536382,206
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,9,1604,0,0,1.1397726429165313e-12,4.9953921011718635e-06,0.6409570574760437,0.8030867026118944,426
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,10,2372,0,1,0.0002912888741140853,1.0312642413102224,0.647467851638794,0.8044312763886551,469
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,11,2124,0,0,2.4339991914149858e-08,0.8553178455446582,0.6610850095748901,0.7964514085765553,26
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,12,548,0,1,0.0001459724945429855,0.011328089931309751,0.630198061466217,0.8576897478821317,45
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,13,2660,0,0,5.074225650247707e-09,0.21829205451329872,0.6836972236633301,0.790406064163067,159
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,14,906,1,1,0.9976092278307992,0.025228991279868388,0.7068955302238464,0.787635486270053,385
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,15,554,0,0,2.2663216729667768e-05,0.040414416828575446,0.6679369807243347,0.8175170787750887,88
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,16,390,0,0,1.254128441971434e-06,2.007674884719014,0.6139635443687439,0.8708252264048661,13
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,17,2168,0,0,0.017943117513021356,2.3296794629924,0.6444157361984253,0.8257732796922819,56
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,18,2228,1,1,0.9432484532325095,0.39095016430516705,0.6513301730155945,0.843258869739794,154
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,19,426,0,0,2.764406010531787e-11,0.013747270827683648,0.6589978933334351,0.7939144431092415,356
