Corpus,Threat Model,LLM,Metric,Higher is Better,Slope,Slope Std,Slope HDI Lower,Slope HDI Upper,ROPE,Conclusion
EBG,logreg,gemma-2,binary_acc1,False,0.39130309396594964,0.2659475789781408,-0.13833902545341634,0.9029944354369732,0.026594757897814084,Inconclusive
EBG,logreg,gemma-2,binary_acc5,False,0.21582899842546469,0.19204906721000276,-0.15241340338366,0.6009717360657307,0.019204906721000278,Inconclusive
EBG,logreg,gemma-2,true_class_confidence,False,0.13408411649104712,0.11185030230792031,-0.07380201924447358,0.3607387199146911,0.011185030230792032,Inconclusive
EBG,logreg,gemma-2,entropy,True,0.11116240691626515,0.11144194643834078,-0.10919780312370207,0.32578640770275175,0.01114419464383408,Inconclusive
EBG,logreg,gemma-2,bertscore,True,0.06792289994606134,0.036531077380221016,-0.003554417056891024,0.13969159524345556,0.003653107738022102,Inconclusive
EBG,logreg,gemma-2,pinc,True,-0.07410876782523394,0.051383680260826625,-0.17003730566320438,0.026732282769256918,0.005138368026082663,Inconclusive
EBG,svm,gemma-2,binary_acc1,False,0.38166610655692845,0.2628095790758287,-0.1136282432333603,0.8958605306274963,0.02628095790758287,Inconclusive
EBG,svm,gemma-2,binary_acc5,False,0.21827741688775204,0.18415259368419973,-0.14449762268988703,0.5739286197576255,0.018415259368419975,Inconclusive
EBG,svm,gemma-2,true_class_confidence,False,0.13708133029788877,0.11034977403356909,-0.07292834452442015,0.35630020935021894,0.01103497740335691,Inconclusive
EBG,svm,gemma-2,entropy,True,0.11428349187366876,0.11127736235785457,-0.10513261590873822,0.33244730220542057,0.011127736235785458,Inconclusive
EBG,svm,gemma-2,bertscore,True,0.06847094168268296,0.036205833288820974,-0.0007903381015568894,0.14025259262658507,0.0036205833288820975,Inconclusive
EBG,svm,gemma-2,pinc,True,-0.074963031308825,0.051090370393521704,-0.17410331054186662,0.02426186857095626,0.005109037039352171,Inconclusive
EBG,roberta,gemma-2,binary_acc1,False,0.38902620058795434,0.25925616314240524,-0.12939049173601033,0.8751422193511591,0.025925616314240525,Inconclusive
EBG,roberta,gemma-2,binary_acc5,False,0.21680270943227822,0.19005670965307556,-0.14860065489482582,0.5871123159828239,0.01900567096530756,Inconclusive
EBG,roberta,gemma-2,true_class_confidence,False,0.13540990953862178,0.11354233574922641,-0.0821862123724496,0.3629709241367473,0.011354233574922643,Inconclusive
EBG,roberta,gemma-2,entropy,True,0.113095106464411,0.1093980807436724,-0.09703685071948012,0.3321905719689151,0.01093980807436724,Inconclusive
EBG,roberta,gemma-2,bertscore,True,0.0688189448679769,0.03647835660697169,-0.00446602107939089,0.13876478045964685,0.003647835660697169,Inconclusive
EBG,roberta,gemma-2,pinc,True,-0.07520572024107532,0.051363763104393376,-0.17362349102562005,0.027314302574484306,0.005136376310439338,Inconclusive
EBG,logreg,llama-3.1,binary_acc1,False,0.2610391672618884,0.21318781858106453,-0.16321073336229974,0.6741882565961359,0.021318781858106456,Inconclusive
EBG,logreg,llama-3.1,binary_acc5,False,-0.01503265609046198,0.17895597803898097,-0.3620747528611964,0.34496676268048665,0.017895597803898097,Inconclusive
EBG,logreg,llama-3.1,true_class_confidence,False,0.14881046124564506,0.11370466971571072,-0.07447731886130877,0.37034379720170907,0.011370466971571073,Inconclusive
EBG,logreg,llama-3.1,entropy,True,0.03416368859915143,0.1057847051679681,-0.17515224572410404,0.2427454439017593,0.010578470516796811,Inconclusive
EBG,logreg,llama-3.1,bertscore,True,-0.03360530188065195,0.03683622923309918,-0.1080008028182967,0.03692233172045205,0.0036836229233099178,Inconclusive
EBG,logreg,llama-3.1,pinc,True,0.040809197876913866,0.040791867516072756,-0.04286760812830305,0.11858743033013129,0.004079186751607276,Inconclusive
EBG,svm,llama-3.1,binary_acc1,False,0.2575616859425478,0.21048347130044065,-0.1370169940124995,0.6877381407291308,0.021048347130044068,Inconclusive
EBG,svm,llama-3.1,binary_acc5,False,-0.0196375371510404,0.17901235588097894,-0.3595330073004551,0.33467160959699066,0.017901235588097895,Inconclusive
EBG,svm,llama-3.1,true_class_confidence,False,0.1486005493054242,0.1136531337097798,-0.07376924807234321,0.3732896844449561,0.01136531337097798,Inconclusive
EBG,svm,llama-3.1,entropy,True,0.03352029147492309,0.10393701490514762,-0.16526057774456765,0.24326494356772854,0.010393701490514762,Inconclusive
EBG,svm,llama-3.1,bertscore,True,-0.03448643834211247,0.03616448741020667,-0.10497819814940766,0.034774028154352585,0.003616448741020667,Inconclusive
EBG,svm,llama-3.1,pinc,True,0.03937833917400208,0.04098445941806663,-0.03721135108039138,0.12056371119276063,0.004098445941806663,Inconclusive
EBG,roberta,llama-3.1,binary_acc1,False,0.25561265030981944,0.21715397481977836,-0.19481665212633664,0.662003366821336,0.021715397481977837,Inconclusive
EBG,roberta,llama-3.1,binary_acc5,False,-0.020476304179975254,0.18081933371416173,-0.37161673977298554,0.3316906511488076,0.018081933371416174,Inconclusive
EBG,roberta,llama-3.1,true_class_confidence,False,0.1507131561457494,0.11421424787912016,-0.06617542279207075,0.3788770248156649,0.011421424787912016,Inconclusive
EBG,roberta,llama-3.1,entropy,True,0.03101824227680015,0.10796424124341207,-0.16957042296471067,0.24625781037159974,0.010796424124341208,Inconclusive
EBG,roberta,llama-3.1,bertscore,True,-0.033527055202975636,0.03643977287951857,-0.10477108018697207,0.03743008290271332,0.0036439772879518573,Inconclusive
EBG,roberta,llama-3.1,pinc,True,0.03933073809617837,0.041554891311141685,-0.0411503961530686,0.12048645265749454,0.004155489131114169,Inconclusive
EBG,logreg,ministral,binary_acc1,False,0.1530278256917994,0.21063806565386445,-0.2729959902112774,0.5539545403253143,0.021063806565386447,Inconclusive
EBG,logreg,ministral,binary_acc5,False,0.06818660350280999,0.18315338373534273,-0.2959643814881822,0.4166048593079207,0.018315338373534273,Inconclusive
EBG,logreg,ministral,true_class_confidence,False,0.10865935177886667,0.117018058025801,-0.12353309159625632,0.3336569095972499,0.0117018058025801,Inconclusive
EBG,logreg,ministral,entropy,True,0.04793525232590182,0.10592207178917151,-0.1518267836266002,0.26082677754978983,0.010592207178917151,Inconclusive
EBG,logreg,ministral,bertscore,True,-0.013947663517219119,0.04101263917535549,-0.0943424460765895,0.06669544232155297,0.004101263917535549,Inconclusive
EBG,logreg,ministral,pinc,True,0.02960192738579596,0.05019866311744905,-0.06879740438630734,0.1270081129464336,0.0050198663117449055,Inconclusive
EBG,svm,ministral,binary_acc1,False,0.15270738030553713,0.21255584871774452,-0.25169824823484943,0.5854725551672114,0.021255584871774452,Inconclusive
EBG,svm,ministral,binary_acc5,False,0.06459757527085234,0.18494058539351454,-0.30002166491637416,0.4387801905074915,0.018494058539351457,Inconclusive
EBG,svm,ministral,true_class_confidence,False,0.10722022577536765,0.11579907355590129,-0.11727469205927446,0.3339076121068116,0.011579907355590129,Inconclusive
EBG,svm,ministral,entropy,True,0.048594862248008255,0.10488562309879246,-0.1501734431119944,0.26085492343620587,0.010488562309879247,Inconclusive
EBG,svm,ministral,bertscore,True,-0.013970100786158816,0.042148189358721756,-0.09907760860862694,0.06605125893715535,0.004214818935872176,Inconclusive
