Corpus,Threat Model,LLM,Metric,Higher is Better,Data Points,Mean Value,Slope,Slope HDI Lower,Slope HDI Upper,P(Improvement),Effect per 1000 words,Effect (500→2500),In ROPE,Conclusion
EBG,LOGREG,Gemma-2,pinc,True,15,0.9331951258856336,-0.0018190853624575137,-0.003435485496142444,-0.00019195987067217648,0.019125,-0.0018190853624575137,-0.0036381707249150273,0.00775,Significant Deterioration
EBG,LOGREG,Ministral,pinc,True,15,0.9305872393765124,-0.0017797572786378564,-0.0028828794440237692,-0.000624124455636967,0.002875,-0.0017797572786378564,-0.0035595145572757127,0.00125,Significant Deterioration
EBG,LOGREG,Claude-3.5,pinc,True,15,0.8619055008208668,-0.0031578077860721083,-0.004418298409974167,-0.0019343257176882129,0.00025,-0.0031578077860721083,-0.006315615572144217,0.0,Significant Deterioration
EBG,LOGREG,Gpt-4O,accuracy@1,False,15,0.19555555555555554,0.5728209120751407,0.27671900436096164,0.8569235710317474,0.000625,0.5728209120751407,1.1456418241502815,0.00025,Significant Deterioration
EBG,LOGREG,Gpt-4O,accuracy@5,False,15,0.4918518518518518,0.4039082745760954,0.15376977477046408,0.6493820227011873,0.0015,0.4039082745760954,0.8078165491521908,0.001125,Significant Deterioration
EBG,LOGREG,Gpt-4O,true_class_confidence,False,15,0.16678378165128746,0.3899504544445127,0.09720024180233071,0.6782382427434834,0.006,0.3899504544445127,0.7799009088890254,0.00325,Significant Deterioration
EBG,LOGREG,Gpt-4O,pinc,True,15,0.658410261422894,-0.037766398046254125,-0.044711006783483005,-0.030990643854510745,0.0,-0.037766398046254125,-0.07553279609250825,0.0,Significant Deterioration
EBG,SVM,Gemma-2,pinc,True,15,0.9331951258856336,-0.0018190853624575137,-0.003435485496142444,-0.00019195987067217648,0.019125,-0.0018190853624575137,-0.0036381707249150273,0.00775,Significant Deterioration
EBG,SVM,Ministral,entropy,True,15,3.896765756171224,-0.026130520354252874,-0.04077965361509393,-0.011533644958726006,0.000375,-0.14350497911620924,-0.2870099582324185,0.00075,Significant Deterioration
EBG,SVM,Ministral,pinc,True,15,0.9305872393765124,-0.0017797572786378564,-0.0028828794440237692,-0.000624124455636967,0.002875,-0.0017797572786378564,-0.0035595145572757127,0.00125,Significant Deterioration
EBG,SVM,Claude-3.5,pinc,True,15,0.8619055008208668,-0.0031578077860721083,-0.004418298409974167,-0.0019343257176882129,0.00025,-0.0031578077860721083,-0.006315615572144217,0.0,Significant Deterioration
EBG,SVM,Gpt-4O,accuracy@1,False,15,0.21185185185185185,0.6286922603132102,0.32332778018996167,0.9172495922371655,0.0005,0.6286922603132102,1.2573845206264205,0.0,Significant Deterioration
EBG,SVM,Gpt-4O,accuracy@5,False,15,0.5125925925925926,0.5370684366431425,0.278250554024954,0.781379751774465,0.00025,0.5370684366431425,1.074136873286285,0.0,Significant Deterioration
EBG,SVM,Gpt-4O,pinc,True,15,0.658410261422894,-0.037766398046254125,-0.044711006783483005,-0.030990643854510745,0.0,-0.037766398046254125,-0.07553279609250825,0.0,Significant Deterioration
EBG,ROBERTA,Gemma-2,entropy,True,15,2.618360249201457,-0.08301121400439886,-0.1268497189234067,-0.038334429497651014,0.000625,-0.4558853926601431,-0.9117707853202862,0.000125,Significant Deterioration
EBG,ROBERTA,Gemma-2,pinc,True,15,0.9331951258856336,-0.0018190853624575137,-0.003435485496142444,-0.00019195987067217648,0.019125,-0.0018190853624575137,-0.0036381707249150273,0.00775,Significant Deterioration
EBG,ROBERTA,Ministral,pinc,True,15,0.9305872393765124,-0.0017797572786378564,-0.0028828794440237692,-0.000624124455636967,0.002875,-0.0017797572786378564,-0.0035595145572757127,0.00125,Significant Deterioration
EBG,ROBERTA,Claude-3.5,pinc,True,15,0.8619055008208668,-0.0031578077860721083,-0.004418298409974167,-0.0019343257176882129,0.00025,-0.0031578077860721083,-0.006315615572144217,0.0,Significant Deterioration
EBG,ROBERTA,Gpt-4O,entropy,True,15,1.6310096025466918,-0.028870202896911494,-0.0397505022753871,-0.016774725491469425,0.0,-0.15855091317106934,-0.3171018263421387,0.0,Significant Deterioration
EBG,ROBERTA,Gpt-4O,pinc,True,15,0.658410261422894,-0.037766398046254125,-0.044711006783483005,-0.030990643854510745,0.0,-0.037766398046254125,-0.07553279609250825,0.0,Significant Deterioration
RJ,SVM,Gpt-4O,entropy,True,15,3.674928939014071,-0.050052241434805946,-0.07601270319708234,-0.023287087844323172,0.001,-0.21984533210322715,-0.4396906642064543,0.00025,Significant Deterioration
