Corpus,Threat Model,LLM,Metric,Higher is Better,Slope,Slope Std,Slope HDI Lower,Slope HDI Upper,ROPE,Conclusion
EBG,logreg,gemma-2,binary_acc1,False,0.2490876912190236,0.21468275683696703,-0.1681620340146783,0.6726928123965348,0.021468275683696705,Inconclusive
EBG,logreg,gemma-2,binary_acc5,False,0.02441736215940856,0.14572108088463384,-0.2658467852912427,0.3062604070401297,0.014572108088463384,Inconclusive
EBG,logreg,gemma-2,true_class_confidence,False,0.05795383433899951,0.08251901384741674,-0.1107904530120575,0.21220819168076682,0.008251901384741673,Inconclusive
EBG,logreg,gemma-2,entropy,True,0.028364609999728573,0.08175798930454652,-0.12718775925401213,0.19132684557657847,0.008175798930454652,Inconclusive
EBG,logreg,gemma-2,bertscore,True,0.02207583344822546,0.026827559154866273,-0.029618631271544477,0.07486761069758072,0.0026827559154866277,Inconclusive
EBG,logreg,gemma-2,pinc,True,-0.03062458011544003,0.037964145700602324,-0.10611277490750906,0.04212557417477908,0.0037964145700602327,Inconclusive
EBG,svm,gemma-2,binary_acc1,False,0.24956971857771076,0.21584389781303104,-0.1502021553452423,0.6873282543820167,0.021584389781303105,Inconclusive
EBG,svm,gemma-2,binary_acc5,False,0.018705971248652347,0.14788860991454564,-0.26112699727722777,0.31910931812508436,0.014788860991454565,Inconclusive
EBG,svm,gemma-2,true_class_confidence,False,0.05586209814411916,0.08236344855895622,-0.1082706309431677,0.2145053463356665,0.008236344855895623,Inconclusive
EBG,svm,gemma-2,entropy,True,0.028082287183737262,0.08266408113786729,-0.1281123339070874,0.19010374937239943,0.00826640811378673,Inconclusive
EBG,svm,gemma-2,bertscore,True,0.02281613368283246,0.026541734388624155,-0.02977848001864425,0.07398994233664118,0.0026541734388624157,Inconclusive
EBG,svm,gemma-2,pinc,True,-0.03078480395352314,0.038801265432621766,-0.10787676841697286,0.04532056267678312,0.003880126543262177,Inconclusive
EBG,roberta,gemma-2,binary_acc1,False,0.2510223229859415,0.21613876907967258,-0.15800432444253762,0.6832790828574669,0.02161387690796726,Inconclusive
EBG,roberta,gemma-2,binary_acc5,False,0.02521043065617778,0.14741793600847913,-0.27544470035639756,0.29801325001387097,0.014741793600847914,Inconclusive
EBG,roberta,gemma-2,true_class_confidence,False,0.05666376228387992,0.08222019892096433,-0.10676339490964323,0.21557791190381365,0.008222019892096434,Inconclusive
EBG,roberta,gemma-2,entropy,True,0.024896659100068008,0.08278124698857961,-0.1455185984320234,0.17978938075132844,0.00827812469885796,Inconclusive
EBG,roberta,gemma-2,bertscore,True,0.022420128428213792,0.026573244941803,-0.030101355917641688,0.07356456209635662,0.0026573244941803,Inconclusive
EBG,roberta,gemma-2,pinc,True,-0.03051933803307918,0.03837410942646739,-0.1015064441869362,0.04808773141062507,0.0038374109426467396,Inconclusive
EBG,logreg,llama-3.1,binary_acc1,False,0.21516162427083027,0.1654366461092244,-0.11255868442113504,0.5328873118677115,0.01654366461092244,Inconclusive
EBG,logreg,llama-3.1,binary_acc5,False,0.006163179287332504,0.13765942993686672,-0.26476475815838296,0.27530476223836114,0.013765942993686673,Inconclusive
EBG,logreg,llama-3.1,true_class_confidence,False,0.10674771062287532,0.08791901176291676,-0.06050322624059358,0.277855740878809,0.008791901176291677,Inconclusive
EBG,logreg,llama-3.1,entropy,True,0.12232390081413516,0.08007223800951276,-0.03974829265320764,0.27105647783655756,0.008007223800951277,Inconclusive
EBG,logreg,llama-3.1,bertscore,True,-0.05141738600914335,0.026522902784464102,-0.10604009597556681,-0.002292249513100489,0.0026522902784464103,Inconclusive
EBG,logreg,llama-3.1,pinc,True,0.05991285712477762,0.03054956604318343,-0.0011356093214303677,0.11840740842642208,0.003054956604318343,Inconclusive
EBG,svm,llama-3.1,binary_acc1,False,0.20996281680893675,0.16354716313173828,-0.1184074811410461,0.5175678872277206,0.01635471631317383,Inconclusive
EBG,svm,llama-3.1,binary_acc5,False,0.00847787787618255,0.14031461276346677,-0.271446958263893,0.2791825489505672,0.014031461276346677,Inconclusive
EBG,svm,llama-3.1,true_class_confidence,False,0.10740805851999054,0.08642531286511161,-0.0642331693932914,0.27142433277714817,0.008642531286511162,Inconclusive
EBG,svm,llama-3.1,entropy,True,0.1205728861763422,0.08182404164566229,-0.03631278006752916,0.28298015541897553,0.00818240416456623,Inconclusive
EBG,svm,llama-3.1,bertscore,True,-0.051643952717702654,0.026395242796608136,-0.10365122146184383,0.0005662998903537622,0.002639524279660814,Inconclusive
EBG,svm,llama-3.1,pinc,True,0.060578559710762786,0.030008934980155104,0.0016801910673119014,0.11905819919751068,0.0030008934980155105,Inconclusive
EBG,roberta,llama-3.1,binary_acc1,False,0.21010522967914277,0.16435806817380796,-0.10832291413133929,0.5303495793677571,0.016435806817380796,Inconclusive
EBG,roberta,llama-3.1,binary_acc5,False,0.010335797573161916,0.13755020379758418,-0.25563312512084413,0.2782521573813861,0.013755020379758419,Inconclusive
EBG,roberta,llama-3.1,true_class_confidence,False,0.10621858373153722,0.08675621759915098,-0.056190532407687746,0.2838081661811325,0.008675621759915098,Inconclusive
EBG,roberta,llama-3.1,entropy,True,0.1224139713275752,0.08128594088172382,-0.03258516604481755,0.2821822959137891,0.008128594088172382,Inconclusive
EBG,roberta,llama-3.1,bertscore,True,-0.05093910840876423,0.026871375098481216,-0.10429162515640455,0.0002580542102486893,0.0026871375098481217,Inconclusive
EBG,roberta,llama-3.1,pinc,True,0.06067867380972161,0.030741068913444993,-6.808346402057026e-05,0.11915734278564558,0.0030741068913444996,Inconclusive
